TARA_144	TARA_146	TARA_147	TARA_148	TARA_149	TARA_25	TARA_26	TARA_30
317397	10	18	13	17	27	13	11	13
1864582	9	14	13	15	28	17	11	9
3550164	11	18	9	20	29	14	12	10
5504164_1	11	20	12	22	31	15	11	13
5504164_2	11	20	12	22	31	15	11	13
1042389	10	18	12	14	28	13	11	13
3215604	10	17	10	14	17	11	9	12
1234623	10	20	10	25	24	17	13	12
5137051	9	15	11	24	23	11	9	13
3376876	13	15	9	20	26	17	12	9
6060409	13	21	10	16	25	16	9	13
5018133	9	20	12	23	17	20	9	9
5209192	9	16	15	23	27	15	11	14
2045932	9	20	10	20	29	18	9	13
714977	10	18	9	13	26	14	9	12
5203390	12	15	16	21	23	11	10	9
1976547	10	13	11	19	28	19	10	9
2092208	11	22	11	18	23	13	9	13
3354455	10	19	16	14	27	16	10	12
5079418	9	21	11	18	20	11	9	9
4193079	10	18	14	15	23	16	12	9
2201547	10	17	13	20	23	20	11	11
691948	10	14	10	18	25	10	12	11
3838596	10	16	11	19	19	14	10	14
4398872	10	19	10	20	26	16	10	10
158317	13	15	11	21	26	13	11	10
4541031	10	15	11	23	24	13	9	12
6492358	9	18	12	22	21	13	11	14
2569377	11	15	16	21	22	14	12	10
2601460	9	21	17	22	27	21	12	9
5024921	9	11	16	18	26	15	10	13
1750851	10	21	12	20	25	13	12	9
3604663	12	19	12	19	29	15	12	15
377216	11	17	13	23	22	15	12	10
2338838	11	21	14	22	29	19	9	10
5175034	10	15	12	20	27	14	12	9
2364979_1	9	17	9	18	26	16	10	15
2364979_2	9	17	9	18	26	16	10	15
1701598	12	21	11	24	29	16	10	10
1054935	10	23	13	19	28	17	9	9
1920115	10	16	9	18	23	17	11	14
6049995	11	23	9	22	23	11	9	9
6260743	12	21	10	19	31	17	12	10
801912	9	16	11	14	21	13	9	11
4371225	12	22	16	17	28	13	9	13
1904565	9	16	14	22	25	11	9	10
830310	11	16	15	16	21	13	9	12
5269320	9	14	14	20	19	16	13	11
532249	11	19	16	16	28	16	9	11
5747230	11	15	9	23	26	17	10	14
1116412	9	16	12	19	28	12	12	15
5163437	10	21	13	24	22	15	9	14
5641227	10	18	10	16	20	12	11	11
2297603	9	13	10	21	24	18	13	9
5115158	9	22	9	17	27	12	10	10
5950890	12	16	14	22	28	12	9	10
3685833	10	19	15	21	21	12	10	10
3349141	12	20	10	22	25	12	9	10
3437380	9	21	10	19	25	17	9	12
2367336	10	20	16	18	27	15	9	14
261633	11	17	9	19	27	16	10	9
5889971_1	10	19	15	24	26	11	11	10
5889971_2	10	19	15	24	26	11	11	10
1882365	10	14	15	16	22	15	9	10
2987477	9	19	17	17	17	9	11	11
4981250	11	20	13	25	28	15	11	9
5850846_1	12	17	12	16	20	12	9	14
5850846_2	12	17	12	16	20	12	9	14
6324732	9	23	10	22	20	16	10	9
4046471	13	16	15	22	29	12	10	10
5465963	12	14	15	21	29	20	9	10
3093332	9	23	12	21	26	16	9	9
4273235	10	14	15	20	22	12	9	10
6179028	12	22	15	18	30	17	10	11
3367809	11	18	13	19	20	17	12	11
6171552	9	23	14	18	29	20	9	10
3084091	9	18	9	22	25	13	11	10
4085909	12	22	12	23	23	13	9	11
6178021	9	15	10	24	26	14	10	9
2281343	12	15	13	20	28	17	9	15
3958605	13	19	14	18	24	18	11	14
1506921	9	14	9	19	24	10	9	13
3696729	13	21	12	21	23	14	10	11
548139	9	23	15	21	26	13	11	10
5045977	11	16	16	24	23	16	13	13
6109237_1	10	23	11	24	31	20	10	10
6109237_2	10	23	11	24	31	20	10	10
6109237_3	10	23	11	24	31	20	10	10
1857390	9	19	12	20	27	12	12	15
1453193	11	15	12	23	23	9	10	10
2202657	12	18	16	16	25	13	9	11
1529646	10	12	12	23	24	14	12	11
2187056	12	15	9	24	26	15	11	13
365878	9	22	10	20	31	15	12	10
4550638	9	18	9	18	20	12	10	12
1598280	9	13	11	20	20	16	9	12
6175837	11	15	14	23	25	9	12	13
3600154	12	17	10	15	24	16	10	10
4663415	9	18	11	17	30	15	9	9
5927634	10	20	12	21	27	18	9	10
148289	10	22	14	25	28	21	12	12
