TARA_149	TARA_150	TARA_151	TARA_152	TARA_9	TARA_25	TARA_68
2259839	11	28	10	18	15	34	11
3229307	11	24	15	24	9	29	12
4917745	11	17	11	10	12	23	10
3908481	12	29	11	18	14	33	9
4159127	11	26	16	12	15	34	13
2448156	10	25	15	12	11	43	10
3429159	16	31	10	16	9	40	10
1546874_1	10	22	10	12	10	35	10
1546874_2	10	22	10	12	10	35	10
1546874_3	10	22	10	12	10	35	10
4254510	14	35	13	13	12	36	13
2316676	11	26	12	18	11	24	12
2274421_1	12	31	14	14	14	39	18
2274421_2	12	31	14	14	14	39	18
5654320	10	26	20	13	10	46	9
1466206	10	27	13	17	17	44	10
6581834	11	30	21	17	14	34	15
6835456_1	11	31	12	14	13	49	13
6835456_2	11	31	12	14	13	49	13
4304969	13	33	19	17	13	48	13
3882052_1	13	29	17	20	9	32	17
3882052_2	13	29	17	20	9	32	17
663330	10	25	14	22	14	51	13
3897392	9	21	15	12	10	32	9
6198213	14	29	10	23	15	24	10
6444378	16	34	16	20	14	20	9
2952489	17	17	10	12	11	24	12
1618660	11	26	10	21	13	38	12
3894440	11	23	9	15	13	39	13
110401	13	39	17	19	12	43	9
2488814	11	25	15	22	15	30	12
6979499	13	26	12	15	12	30	14
1631734	15	26	14	19	14	40	11
2108045	10	32	16	21	9	29	17
1654515	9	32	16	16	17	36	17
653747	14	32	10	17	10	33	14
3406730	16	36	18	16	13	50	11
3655696	11	31	13	25	15	37	12
3018685_1	14	39	16	18	16	38	18
3018685_2	14	39	16	18	16	38	18
1315605	10	23	14	13	15	44	9
467007	10	35	19	17	9	45	9
1338540	12	30	14	12	14	31	13
2065251	11	29	9	24	15	32	12
4216144	10	31	9	22	12	42	12
1155376	11	34	17	16	9	32	19
4750527_1	11	28	14	13	9	20	14
4750527_2	11	28	14	13	9	20	14
3321588	10	24	13	15	9	19	17
2739663	12	40	22	17	15	44	15
940551	10	22	9	24	13	54	9
875164	14	40	10	20	12	33	16
4938734	10	36	10	21	14	39	18
4445217	10	35	16	17	10	42	14
4601077	13	28	22	18	14	29	16
6879980	11	35	11	20	10	48	15
1283649	17	31	18	19	14	55	14
3851787	10	22	11	12	9	19	12
5804230	9	16	12	15	16	20	14
2474612	9	23	13	19	12	48	15
3111298	11	25	13	12	16	34	12
2737995_1	11	40	16	25	12	46	15
2737995_2	11	40	16	25	12	46	15
826212	10	26	18	24	16	35	9
4520741	10	28	16	12	11	26	10
