TARA_145	TARA_152	TARA_66
995105	1	1	0
9682	0	0	1
966147	0	0	1
95965_1	1	1	0
95965_2	1	1	0
958314	1	1	0
952624	1	1	0
934985	0	0	1
929367	0	0	1
926610	1	1	0
924505	1	1	0
906451	0	0	1
88867	1	1	0
886084	0	0	1
8781	1	1	0
86350_1	0	0	1
86350_2	0	0	1
863165	1	1	0
851771	1	1	0
847273	0	0	1
826361	0	0	1
82633	1	1	0
820848	1	1	0
816596_1	0	0	1
816596_2	0	0	1
762102	1	1	0
749643	1	1	0
732372	0	0	1
7141	1	1	0
691666	1	1	0
675923	1	1	0
673485	1	1	0
66558	0	0	1
664408	0	0	1
6614255	0	0	1
6557039	0	0	1
6553769	1	1	0
6514701	0	0	1
650257	0	0	1
6493459	1	1	0
6482687	0	0	1
6479763	1	1	0
646904	0	0	1
6463123	1	1	0
645504	0	0	1
644902_1	1	1	0
644902_2	1	1	0
6436069	1	1	0
6425210	0	0	1
6419135	1	1	0
641831	0	0	1
6341113	0	0	1
6323334	0	0	1
6303245	0	0	1
6299582_1	0	0	1
6299582_2	0	0	1
6261827	1	1	0
6260798	0	0	1
6247271	1	1	0
620624	0	0	1
620610	0	0	1
6195927	1	1	0
6164688	0	0	1
6159703	0	0	1
6129786	1	1	0
6081255_1	1	1	0
6081255_2	1	1	0
6070923	1	1	0
6070798	1	1	0
6060670	0	0	1
6051643	0	0	1
6051249_1	0	0	1
6051249_2	0	0	1
6050988	0	0	1
60128	1	1	0
6009450	1	1	0
5993517	0	0	1
5987579	0	0	1
5983075	1	1	0
5977147	0	0	1
5958052	1	1	0
595792	0	0	1
5954276	0	0	1
5947699	0	0	1
5938462	0	0	1
5938389	1	1	0
5921573	1	1	0
5917865	0	0	1
5910518	1	1	0
5891146	0	0	1
5890885	1	1	0
588624	1	1	0
5877923	1	1	0
5873074	1	1	0
5868495_1	1	1	0
5868495_2	1	1	0
5865325	0	0	1
5849362	1	1	0
58492	0	0	1
5839227	0	0	1
5830387	0	0	1
5828334	1	1	0
5825525	1	1	0
5815700	0	0	1
5786512	1	1	0
5776265	0	0	1
5760515	0	0	1
5754931	1	1	0
5751854	1	1	0
574569	1	1	0
5735765	1	1	0
5722337	0	0	1
5710305	1	1	1
5703559	0	0	1
5693765_1	0	0	1
5693765_2	0	0	1
5693688	1	1	0
5669194	0	0	1
5663017	0	0	1
564065	1	1	0
5637345	0	0	1
5632122	0	0	1
5590471	0	0	1
5584800	1	1	0
5579179_1	0	0	1
5579179_2	0	0	1
557909	0	0	1
5571412	0	0	1
5566487	0	0	1
5564934	0	0	1
5536177	1	1	0
5524121	0	0	1
551744	1	1	0
5516308	0	0	1
5510374	1	1	0
5506625	0	0	1
5503467	0	0	1
5495526_1	0	0	1
5495526_2	0	0	1
5494667	0	0	1
5481463	1	1	0
5464987	1	1	0
545075	0	0	1
544294	1	1	0
5440133	1	1	0
5414281	0	0	1
540179	0	0	1
5400992	0	0	1
5391577	1	1	0
5388571	0	0	1
5388163	1	1	0
5384795	1	1	0
5352116	1	1	0
5350287	0	0	1
5313179	1	1	0
5307131	1	1	0
5302918	1	1	0
53012	0	0	1
5296522	0	0	1
5292319	0	0	1
5271559_1	1	1	0
5271559_2	1	1	0
5270332	0	0	1
524249	0	0	1
5231929	0	0	1
5231082	0	0	1
5226668	0	0	1
5199569	1	1	0
5199273	1	1	0
5192720_1	1	1	0
5192720_2	1	1	0
5181340	0	0	1
5172057	0	0	1
5155614_1	1	1	0
5155614_2	1	1	0
5140516_1	1	1	0
5140516_2	1	1	0
512454	1	1	0
5117973	1	1	0
510783	0	0	1
510321	0	0	1
5102316	1	1	0
510137	1	1	0
5091794	0	0	1
5074432	1	1	0
5061592	1	1	0
5057061	0	0	1
505214	1	1	0
5040732	1	1	0
5038089	0	0	1
5035002	1	1	0
5021217	0	0	1
501711	0	0	1
500189	0	0	1
4986285	0	0	1
4981388	1	1	0
4980047	0	0	1
4971820	1	1	0
4961600	0	0	1
495482	0	0	1
4925924	1	1	0
492137	1	1	0
4908215	0	0	1
4854724	0	0	1
484217	0	0	1
4836137	0	0	1
4824765	0	0	1
48150	1	1	0
4809090	1	1	0
4790128	0	0	1
47778	0	0	1
4771446	1	1	1
4758148	1	1	0
4752032	1	1	0
4749288	1	1	0
4748306	0	0	1
4747895	0	0	1
4742259_1	0	0	1
4742259_2	0	0	1
4738553	1	1	0
4735601	0	0	1
4732555	1	1	0
4730729	1	1	0
4728656_1	1	1	0
4728656_2	1	1	0
4727520_1	1	1	0
4727520_2	1	1	0
4725060_1	0	0	1
4725060_2	0	0	1
468028	1	1	0
4677810	1	1	0
4643109	1	1	0
4628591	1	1	0
4621350	0	0	1
4576224	0	0	1
457599	1	1	0
4571439	1	1	0
45553	1	1	0
4510970	0	0	1
450352	0	0	1
4479088	1	1	0
4474326	0	0	1
4473081	1	1	0
4458389	1	1	0
4450375	0	0	1
4445959	1	1	0
4442484	1	1	0
4441949	1	1	0
4424961	0	0	1
4421046	1	1	0
440913	0	0	1
439881	1	1	0
4392050	1	1	0
438510	1	1	0
4372934	0	0	1
4370109	1	1	0
4333458	0	0	1
429994	0	0	1
4289073	1	1	0
4287018	1	1	0
4281630	0	0	1
4270295	0	0	1
4245365	1	1	0
4233741	0	0	1
4227653	1	1	0
4212580	1	1	0
4187975	0	0	1
4186540	1	1	0
4144072	1	1	0
4134367	0	0	1
4126191	0	0	1
40846	1	1	0
4076908	1	1	0
406158	0	0	1
4048841	1	1	0
4047270	0	0	1
4043650	1	1	0
401788_1	1	1	0
401788_2	1	1	0
400886	1	1	0
3970552	1	1	0
3963303	1	1	0
39607	1	1	0
3960226	1	1	0
